rep,id,U,L,alpha,mean_cc
1,411,118905,910.002,2.67379,910.0
2,411,118905,910.002,2.67379,910.0
3,411,118905,910.002,2.67379,910.0
4,411,118905,910.002,2.67379,910.0
5,411,118905,910.002,2.67379,910.0
6,411,118905,910.002,2.67379,910.0
7,411,118905,910.002,2.67379,910.0
8,411,118905,910.002,2.67379,910.0
9,411,118905,910.002,2.67379,910.0
1,152,94084.7,695.237,4.65734e-09,695.25
2,152,94084.7,695.237,4.65734e-09,695.25
3,152,94084.7,695.237,4.65734e-09,695.25
4,152,94084.7,695.237,4.65734e-09,695.25
5,152,94084.7,695.237,4.65734e-09,695.25
6,152,94084.7,695.237,4.65734e-09,695.25
7,152,94084.7,695.237,4.65734e-09,695.25
8,152,94084.7,695.237,4.65734e-09,695.25
9,152,94084.7,695.237,4.65734e-09,695.25
1,1056,122844,675.127,1.97386e-10,713.75
2,1056,122844,675.127,1.97386e-10,713.75
3,1056,122844,675.127,1.97386e-10,713.75
4,1056,122844,675.127,1.97386e-10,713.75
5,1056,122844,675.127,1.97386e-10,713.75
6,1056,122844,675.127,1.97386e-10,713.75
7,1056,122844,675.127,1.97386e-10,713.75
8,1056,122844,675.127,1.97386e-10,713.75
9,1056,122844,675.127,1.97386e-10,713.75
1,462,144695,643.499,0.682419,643.5
2,462,144695,643.499,0.682419,643.5
3,462,144695,643.499,0.682419,643.5
4,462,144695,643.499,0.682419,643.5
5,462,144695,643.499,0.682419,643.5
6,462,144695,643.499,0.682419,643.5
7,462,144695,643.499,0.682419,643.5
8,462,144695,643.499,0.682419,643.5
9,462,144695,643.499,0.682419,643.5
1,1159,118905,654.75,1.42423e-11,654.75
2,1159,118905,654.75,1.42423e-11,654.75
3,1159,118905,654.75,1.42423e-11,654.75
4,1159,118905,654.75,1.42423e-11,654.75
5,1159,118905,654.75,1.42423e-11,654.75
6,1159,118905,654.75,1.42423e-11,654.75
7,1159,118905,654.75,1.42423e-11,654.75
8,1159,118905,654.75,1.42423e-11,654.75
9,1159,118905,654.75,1.42423e-11,654.75
1,1197,118905,675.127,0.899473,636.5
2,1197,118905,675.127,0.899473,636.5
3,1197,118905,675.127,0.899473,636.5
4,1197,118905,675.127,0.899473,636.5
5,1197,118905,675.127,0.899473,636.5
6,1197,118905,675.127,0.899473,636.5
7,1197,118905,675.127,0.899473,636.5
8,1197,118905,675.127,0.899473,636.5
9,1197,118905,675.127,0.899473,636.5
