rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,1.22139,0.0272284,1.43964,-1.00018,0.0209379,0.130037,1.93454e-10,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.22139,0.0272284,5.93568,1.08927,0.843143,0.130037,1.93454e-10,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,0.999998,0.0272332,0.861767,-3.15264,0.177119,9.53978e-06,1.93452e-10,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,0.999998,0.0272332,0.861767,-3.15264,0.177119,9.53978e-06,1.93452e-10,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,0.999998,0.0272332,0.861767,-3.15264,0.177119,9.53978e-06,1.93452e-10,True,6.0|71,783
